token,topic_id,weight
parallelogram,AGEO,8.23
midpoint,AGEO,8.23
gradient,AGEO,7.32
point,AGEO,4.39
size,AGEO,3.29
centre,AGEO,3.29
inthe,AGEO,3.09
isa,AGEO,3.09
circle,AGEO,2.86
form,AGEO,2.51
coordinates,AGEO,2.35
drawn,AGEO,2.25
simultaneously,ALG,9.88
quadratic,ALG,3.7
pattern,ALG,3.29
form,ALG,2.15
concave,CALC,8.67
laptop,CALC,8.67
principles,CALC,6.93
rate,CALC,5.2
turning,CALC,4.81
intercepts,CALC,3.47
tangent,CALC,3.3
confidential,CALC,3.28
graph,CALC,3.06
use,CALC,2.89
points,CALC,2.67
interest,CALC,2.6
point,CALC,2.31
give,EUCL,11.76
areason,EUCL,11.76
quadrilateral,EUCL,11.76
cyclic,EUCL,11.76
giving,EUCL,10.69
reasons,EUCL,9.29
chord,EUCL,8.82
produced,EUCL,7.06
prove,EUCL,6.65
drawn,EUCL,6.42
diagram,EUCL,6.27
units,EUCL,5.88
centre,EUCL,5.88
circle,EUCL,4.09
length,EUCL,3.92
size,EUCL,3.92
tangent,EUCL,2.24
balance,FIN,32.93
quarterly,FIN,32.93
thabo,FIN,32.93
deposited,FIN,32.93
paid,FIN,32.93
loan,FIN,32.93
granted,FIN,32.93
instalment,FIN,32.93
months,FIN,32.93
continued,FIN,32.93
thereafter,FIN,32.93
deposit,FIN,28.23
account,FIN,27.44
compounded,FIN,25.61
take,FIN,24.7
made,FIN,23.52
interest,FIN,23.05
june,FIN,21.96
monthly,FIN,20.27
buy,FIN,19.76
make,FIN,19.76
years,FIN,18.82
month,FIN,16.47
intercept,FUNC,5.55
coordinate,FUNC,5.55
asymptote,FUNC,5.55
horizontal,FUNC,5.55
translated,FUNC,5.55
axis,FUNC,4.63
asymptotes,FUNC,4.44
domain,FUNC,4.44
left,FUNC,4.16
range,FUNC,4.04
axes,FUNC,3.47
coordinates,FUNC,3.01
graph,FUNC,2.94
intercepts,FUNC,2.78
clearly,FUNC,2.38
equation,FUNC,2.31
interval,FUNC,2.22
inthe,FUNC,2.08
shelf,PROB,17.03
ways,PROB,17.03
events,PROB,14.91
independent,PROB,13.63
different,PROB,13.63
digit,PROB,12.78
probability,PROB,11.36
three,PROB,6.39
least,PROB,6.19
one,PROB,3.65
many,PROB,3.19
added,SEQ,15.44
seconds,SEQ,15.44
depth,SEQ,15.44
torpedo,SEQ,15.44
series,SEQ,13.51
term,SEQ,12.86
arithmetic,SEQ,11.58
sum,SEQ,11.23
pattern,SEQ,10.29
difference,SEQ,10.29
quadratic,SEQ,9.65
sequence,SEQ,9.26
terms,SEQ,7.72
general,SEQ,4.63
loaves,STAT,9.32
mean,STAT,9.32
bread,STAT,9.32
standard,STAT,9.32
deviation,STAT,9.32
data,STAT,9.32
box,STAT,9.32
whisker,STAT,9.32
table,STAT,9.32
regression,STAT,9.32
squares,STAT,9.32
predict,STAT,9.32
litre,STAT,9.32
correlation,STAT,9.32
votes,STAT,9.32
received,STAT,9.32
employees,STAT,9.32
fuel,STAT,9.32
spent,STAT,9.32
coefficient,STAT,9.32
minutes,STAT,9.32
member,STAT,9.32
cumulative,STAT,9.32
frequency,STAT,9.32
push,STAT,9.32
sna,TRIG,7.37
expression,TRIG,7.37
simplify,TRIG,7.37
trigonometric,TRIG,7.37
identity,TRIG,7.37
xky,TRIG,7.37
single,TRIG,7.37
alr,TRIG,7.37
sin,TRIG,6.96
sinb,TRIG,6.7
cos,TRIG,6.67
sinc,TRIG,6.64
sheet,TRIG,6.64
sina,TRIG,6.64
tan,TRIG,6.32
cosx,TRIG,6.32
cosa,TRIG,6.03
solution,TRIG,5.9
aabc,TRIG,5.53
information,TRIG,5.1
sinx,TRIG,4.42
area,TRIG,3.69
ratio,TRIG,3.28
use,TRIG,3.28
general,TRIG,2.95
